America/Los_Angeles		34.0500 N, 118.2500 W
Pacific/Auckland		36.8406 S, 174.7400 E
Pacific/Chatham			44.0333 S, 176.4333 W
Pacific/Chuuk			7.4167 N, 151.7833 E
Pacific/Easter			27.1167 S, 109.3667 W
Pacific/Efate			17.6667 S, 168.4167 E
Pacific/Enderbury		3.1333 S, 171.0833 W
Pacific/Fakaofo			9.3653 S, 171.2150 W
Pacific/Fiji			18.0000 S, 179.0000 E
Pacific/Funafuti		8.5167 S, 179.2000 E
Pacific/Galapagos		0.6667 S, 90.5500 W
Pacific/Gambier			23.1400 S, 134.9400 W
Pacific/Guadalcanal		9.6167 S, 160.1833 E
Pacific/Guam			13.5000 N, 144.8000 E
Pacific/Johnston		41.6714 N, 93.7058 W
Pacific/Kiritimati		1.8667 N, 157.4000 W
Pacific/Kosrae			5.3167 N, 162.9833 E
Pacific/Kwajalein		8.7167 N, 167.7333 E
Pacific/Majuro			7.0667 N, 171.2667 E
Pacific/Marquesas		9.4544 S, 139.3889 W
Pacific/Midway			28.2000 N, 177.3500 W
Pacific/Nauru			0.5333 S, 166.9333 E
Pacific/Niue			19.0500 S, 169.9167 W
Pacific/Norfolk			29.0333 S, 167.9500 E
Pacific/Noumea			22.2758 S, 166.4580 E
Pacific/Pago_Pago		14.2794 S, 170.7006 W
Pacific/Palau			7.5000 N, 134.6167 E
Pacific/Pitcairn		25.0667 S, 130.1000 W
Pacific/Pohnpei			6.8500 N, 158.2333 E
Pacific/Port_Moresby		9.5136 S, 147.2188 E
Pacific/Rarotonga		21.2333 S, 159.7833 W
Pacific/Saipan			15.1833 N, 145.7500 E
Pacific/Tahiti			17.6667 S, 149.4167 W
Pacific/Tarawa			1.4167 N, 173.0333 E
Pacific/Tongatapu		21.2114 S, 175.1531 W
Pacific/Wake			19.3000 N, 166.6333 E
Pacific/Wallis			13.2667 S, 176.2000 W
